time,running_avg_rt_ms
3428.5416,137.1048
3428.5555,137.1045
3428.6890,137.1059
3428.7046,137.1067
3428.7101,137.1069
3428.7226,137.1072
3428.7859,137.1078
3428.8308,137.1087
3428.8485,137.1098
3428.8652,137.1110
3428.9188,137.1128
3429.1703,137.1168
3429.1849,137.1207
3429.2089,137.1241
3429.2348,137.1276
3429.2988,137.1313
3429.3104,137.1346
3429.3298,137.1369
3429.3504,137.1393
3429.4308,137.1424
3429.4552,137.1457
3429.4688,137.1486
3429.4760,137.1509
3429.4880,137.1531
3429.5333,137.1549
3429.5361,137.1559
3429.5569,137.1566
3429.5890,137.1574
3429.6087,137.1575
3429.6241,137.1577
3429.6525,137.1582
3429.6591,137.1577
3429.6742,137.1573
3429.6767,137.1562
3429.6895,137.1549
3430.0064,137.1565
3430.0320,137.1574
3430.0673,137.1587
3430.1985,137.1613
3430.2729,137.1648
3430.2945,137.1685
3430.3090,137.1714
3430.3741,137.1747
3430.4294,137.1786
3430.4640,137.1829
3430.5103,137.1868
3430.5128,137.1903
3430.5208,137.1928
3430.5428,137.1956
3430.5596,137.1956
3430.6182,137.1961
3430.6225,137.1960
3430.8342,137.1972
3430.8774,137.1983
3430.9637,137.1995
3430.9683,137.2005
3431.0260,137.2016
3431.0545,137.2011
3431.0589,137.2004
3431.1208,137.1999
3431.1455,137.1988
3431.2553,137.1989
3431.3642,137.2004
3431.4204,137.2022
3431.4419,137.2039
3431.4527,137.2053
3431.4831,137.2064
3431.5613,137.2078
3431.5749,137.2094
3431.5951,137.2102
3431.6032,137.2100
3431.6488,137.2102
3431.6647,137.2104
3431.6891,137.2106
3431.7552,137.2096
3431.7807,137.2089
3431.7902,137.2074
3431.8791,137.2062
3431.8939,137.2048
3431.9503,137.2035
3431.9878,137.2020
3432.0930,137.2013
3432.1138,137.2003
3432.1378,137.1990
3432.1551,137.1977
3432.2398,137.1968
3432.2633,137.1960
3432.2880,137.1953
3432.3103,137.1939
3432.3122,137.1924
3432.3305,137.1911
3432.3930,137.1902
3432.4533,137.1897
3432.4578,137.1884
3432.4661,137.1871
3432.5052,137.1856
3432.5179,137.1840
3432.5555,137.1825
3432.6396,137.1819
3432.6764,137.1803
3432.6849,137.1788
3432.8040,137.1780
3432.8546,137.1778
3432.8579,137.1769
3432.8974,137.1755
3433.1527,137.1750
3433.1966,137.1745
3433.2104,137.1741
3433.2282,137.1738
3433.2637,137.1737
3433.2753,137.1733
3433.2915,137.1725
3433.3733,137.1721
3433.3841,137.1716
3433.4682,137.1704
3433.5236,137.1693
3433.7031,137.1679
3433.7320,137.1666
3433.7701,137.1653
3433.9463,137.1639
3433.9760,137.1628
3434.0038,137.1616
3434.0225,137.1606
3434.0633,137.1590
3434.0846,137.1576
3434.1718,137.1562
3434.2757,137.1554
3434.3492,137.1554
3434.3743,137.1556
3434.3846,137.1552
3434.4144,137.1552
3434.4262,137.1542
3434.4454,137.1533
3434.5003,137.1529
3434.5376,137.1527
3434.5679,137.1528
3434.6647,137.1537
3434.6890,137.1545
3434.7038,137.1545
3434.7128,137.1546
3434.7316,137.1533
3434.7688,137.1523
3434.7848,137.1510
3434.8778,137.1494
3434.9074,137.1479
3434.9121,137.1465
3435.0201,137.1458
3435.0486,137.1455
3435.0543,137.1447
3435.0569,137.1437
3435.2476,137.1431
3435.2517,137.1419
3435.2653,137.1409
3435.2786,137.1396
3435.3319,137.1388
3435.4058,137.1389
3435.4091,137.1389
3435.4261,137.1390
3435.4866,137.1396
